system:time_start,CO_column_number_density
"Jul 4, 2018",0.026
"Jul 4, 2018",
"Jul 4, 2018",
"Jul 4, 2018",
"Jul 5, 2018",
"Jul 5, 2018",
"Jul 5, 2018",
"Jul 5, 2018",
"Jul 5, 2018",
"Jul 5, 2018",
"Jul 5, 2018",0.025
"Jul 5, 2018",
"Jul 5, 2018",
"Jul 5, 2018",
"Jul 5, 2018",
"Jul 5, 2018",
"Jul 5, 2018",
"Jul 5, 2018",
"Jul 6, 2018",
"Jul 6, 2018",
"Jul 6, 2018",
"Jul 6, 2018",
"Jul 6, 2018",0.026
"Jul 6, 2018",
"Jul 6, 2018",
"Jul 6, 2018",
"Jul 6, 2018",
"Jul 6, 2018",
"Jul 7, 2018",
"Jul 7, 2018",
"Jul 7, 2018",
"Jul 7, 2018",0.027
"Jul 7, 2018",0.027
"Jul 7, 2018",
"Jul 7, 2018",
"Jul 7, 2018",
"Jul 8, 2018",
"Jul 8, 2018",
"Jul 8, 2018",
"Jul 8, 2018",
"Jul 8, 2018",0.025
"Jul 8, 2018",
"Jul 8, 2018",
"Jul 8, 2018",
"Jul 9, 2018",
"Jul 9, 2018",
"Jul 9, 2018",
"Jul 9, 2018",
"Jul 9, 2018",
"Jul 9, 2018",
"Jul 9, 2018",
"Jul 10, 2018",
"Jul 10, 2018",
"Jul 10, 2018",
"Jul 10, 2018",
"Jul 10, 2018",
"Jul 10, 2018",0.026
"Jul 10, 2018",
"Jul 10, 2018",
"Jul 10, 2018",
"Jul 10, 2018",
"Jul 11, 2018",
"Jul 11, 2018",
"Jul 11, 2018",
"Jul 11, 2018",0.028
"Jul 11, 2018",
"Jul 11, 2018",
"Jul 11, 2018",
"Jul 11, 2018",
"Jul 11, 2018",
"Jul 11, 2018",
"Jul 12, 2018",
"Jul 12, 2018",
"Jul 12, 2018",
"Jul 12, 2018",
"Jul 12, 2018",
"Jul 12, 2018",
"Jul 12, 2018",0.027
"Jul 12, 2018",0.026
"Jul 12, 2018",
"Jul 12, 2018",
"Jul 12, 2018",
"Jul 12, 2018",
"Jul 12, 2018",
"Jul 12, 2018",
"Jul 13, 2018",
"Jul 13, 2018",
"Jul 13, 2018",
"Jul 13, 2018",
"Jul 13, 2018",
"Jul 13, 2018",
"Jul 13, 2018",
"Jul 13, 2018",0.028
"Jul 13, 2018",
"Jul 13, 2018",
"Jul 13, 2018",
"Jul 13, 2018",
"Jul 13, 2018",
"Jul 13, 2018",
"Jul 14, 2018",
"Jul 14, 2018",
"Jul 14, 2018",
"Jul 14, 2018",
"Jul 14, 2018",
"Jul 14, 2018",
"Jul 14, 2018",
"Jul 14, 2018",0.027
"Jul 14, 2018",
"Jul 14, 2018",
"Jul 14, 2018",
"Jul 14, 2018",
"Jul 14, 2018",
"Jul 14, 2018",
"Jul 15, 2018",
"Jul 15, 2018",
"Jul 15, 2018",
"Jul 15, 2018",
"Jul 15, 2018",
"Jul 15, 2018",
"Jul 15, 2018",
"Jul 15, 2018",0.027
"Jul 15, 2018",
"Jul 15, 2018",
"Jul 15, 2018",
"Jul 15, 2018",
"Jul 15, 2018",
"Jul 15, 2018",
"Jul 15, 2018",
"Jul 16, 2018",
"Jul 16, 2018",
"Jul 16, 2018",
"Jul 16, 2018",
"Jul 16, 2018",
"Jul 16, 2018",
"Jul 16, 2018",0.028
"Jul 16, 2018",
"Jul 16, 2018",
"Jul 16, 2018",
"Jul 16, 2018",
"Jul 16, 2018",
"Jul 16, 2018",
"Jul 16, 2018",
"Jul 17, 2018",
"Jul 17, 2018",
"Jul 17, 2018",
"Jul 17, 2018",
"Jul 17, 2018",
"Jul 17, 2018",
"Jul 17, 2018",0.028
"Jul 17, 2018",0.027
"Jul 17, 2018",
"Jul 17, 2018",
"Jul 17, 2018",
"Jul 17, 2018",
"Jul 17, 2018",
"Jul 17, 2018",
"Jul 18, 2018",
"Jul 18, 2018",
"Jul 18, 2018",
"Jul 18, 2018",
"Jul 18, 2018",
"Jul 18, 2018",
"Jul 18, 2018",0.028
"Jul 18, 2018",0.029
"Jul 18, 2018",
"Jul 18, 2018",
"Jul 18, 2018",
"Jul 18, 2018",
"Jul 18, 2018",
"Jul 18, 2018",
"Jul 19, 2018",
"Jul 19, 2018",
"Jul 19, 2018",
"Jul 19, 2018",
"Jul 19, 2018",
"Jul 19, 2018",
"Jul 19, 2018",
"Jul 19, 2018",0.027
"Jul 19, 2018",
"Jul 19, 2018",
"Jul 19, 2018",
"Jul 19, 2018",
"Jul 19, 2018",
"Jul 19, 2018",
"Jul 20, 2018",
"Jul 20, 2018",
"Jul 20, 2018",
"Jul 20, 2018",
"Jul 20, 2018",
"Jul 20, 2018",
"Jul 20, 2018",
"Jul 20, 2018",0.026
"Jul 20, 2018",
"Jul 20, 2018",
"Jul 20, 2018",
"Jul 20, 2018",
"Jul 20, 2018",
"Jul 20, 2018",
"Jul 21, 2018",
"Jul 21, 2018",
"Jul 21, 2018",
"Jul 21, 2018",
"Jul 21, 2018",
"Jul 21, 2018",
"Jul 21, 2018",
"Jul 21, 2018",0.027
"Jul 21, 2018",
"Jul 21, 2018",
"Jul 21, 2018",
"Jul 21, 2018",
"Jul 21, 2018",
"Jul 21, 2018",
"Jul 21, 2018",
"Jul 22, 2018",
"Jul 22, 2018",
"Jul 22, 2018",
"Jul 22, 2018",
"Jul 22, 2018",
"Jul 22, 2018",
"Jul 22, 2018",0.027
"Jul 22, 2018",
"Jul 22, 2018",
"Jul 22, 2018",
"Jul 22, 2018",
"Jul 22, 2018",
"Jul 22, 2018",
"Jul 22, 2018",
"Jul 23, 2018",
"Jul 23, 2018",
"Jul 23, 2018",
"Jul 23, 2018",
"Jul 23, 2018",
"Jul 23, 2018",
"Jul 23, 2018",0.027
"Jul 23, 2018",0.027
"Jul 23, 2018",
"Jul 23, 2018",
"Jul 23, 2018",
"Jul 23, 2018",
"Jul 23, 2018",
"Jul 23, 2018",
"Jul 24, 2018",
"Jul 24, 2018",
"Jul 24, 2018",
"Jul 24, 2018",
"Jul 24, 2018",
"Jul 24, 2018",
"Jul 24, 2018",
"Jul 24, 2018",0.027
"Jul 24, 2018",
"Jul 24, 2018",
"Jul 24, 2018",
"Jul 24, 2018",
"Jul 24, 2018",
"Jul 24, 2018",
"Jul 25, 2018",
"Jul 25, 2018",
"Jul 25, 2018",
"Jul 25, 2018",
"Jul 25, 2018",
"Jul 25, 2018",
"Jul 25, 2018",
"Jul 25, 2018",0.027
"Jul 25, 2018",
"Jul 25, 2018",
"Jul 25, 2018",
"Jul 25, 2018",
"Jul 25, 2018",
"Jul 25, 2018",
"Jul 26, 2018",
"Jul 26, 2018",
"Jul 26, 2018",
"Jul 26, 2018",
"Jul 26, 2018",
"Jul 26, 2018",
"Jul 26, 2018",
"Jul 26, 2018",0.026
"Jul 26, 2018",
"Jul 26, 2018",
"Jul 26, 2018",
"Jul 26, 2018",
"Jul 26, 2018",
"Jul 26, 2018",
"Jul 26, 2018",
"Jul 27, 2018",
"Jul 27, 2018",
"Jul 27, 2018",
"Jul 27, 2018",
"Jul 27, 2018",
"Jul 27, 2018",
"Jul 27, 2018",0.028
"Jul 27, 2018",
"Jul 27, 2018",
"Jul 27, 2018",
"Jul 27, 2018",
"Jul 27, 2018",
"Jul 27, 2018",
"Jul 27, 2018",
"Jul 28, 2018",
"Jul 28, 2018",
"Jul 28, 2018",
"Jul 28, 2018",
"Jul 28, 2018",
"Jul 28, 2018",
"Jul 28, 2018",0.027
"Jul 28, 2018",0.026
"Jul 28, 2018",
"Jul 28, 2018",
"Jul 28, 2018",
"Jul 28, 2018",
"Jul 28, 2018",
"Jul 28, 2018",
"Jul 29, 2018",
"Jul 29, 2018",
"Jul 29, 2018",
"Jul 29, 2018",
"Jul 29, 2018",
"Jul 29, 2018",
"Jul 29, 2018",
"Jul 29, 2018",0.028
"Jul 29, 2018",
"Jul 29, 2018",
"Jul 29, 2018",
"Jul 29, 2018",
"Jul 29, 2018",
"Jul 29, 2018",
"Jul 30, 2018",
"Jul 30, 2018",
"Jul 30, 2018",
"Jul 30, 2018",
"Jul 30, 2018",
"Jul 30, 2018",
"Jul 30, 2018",
"Jul 30, 2018",0.027
"Jul 30, 2018",
"Jul 30, 2018",
"Jul 30, 2018",
"Jul 30, 2018",
"Jul 30, 2018",
"Jul 30, 2018",
"Jul 31, 2018",
"Jul 31, 2018",
"Jul 31, 2018",
"Jul 31, 2018",
"Jul 31, 2018",
"Jul 31, 2018",
"Jul 31, 2018",
"Jul 31, 2018",0.026
"Jul 31, 2018",
"Jul 31, 2018",
"Jul 31, 2018",
"Jul 31, 2018",
"Jul 31, 2018",
"Jul 31, 2018",
"Jul 31, 2018",
"Aug 1, 2018",
"Aug 1, 2018",
"Aug 1, 2018",
"Aug 1, 2018",
"Aug 1, 2018",
"Aug 1, 2018",
"Aug 1, 2018",0.028
"Aug 1, 2018",
"Aug 1, 2018",
"Aug 1, 2018",
"Aug 1, 2018",
"Aug 1, 2018",
"Aug 1, 2018",
"Aug 1, 2018",
"Aug 2, 2018",
"Aug 2, 2018",
"Aug 2, 2018",
"Aug 2, 2018",
"Aug 2, 2018",
"Aug 2, 2018",
"Aug 2, 2018",0.027
"Aug 2, 2018",0.028
"Aug 2, 2018",
"Aug 2, 2018",
"Aug 2, 2018",
"Aug 2, 2018",
"Aug 2, 2018",
"Aug 2, 2018",
"Aug 3, 2018",
"Aug 3, 2018",
"Aug 3, 2018",
"Aug 3, 2018",
"Aug 3, 2018",
"Aug 3, 2018",
"Aug 3, 2018",0.029
"Aug 3, 2018",0.028
"Aug 3, 2018",
"Aug 3, 2018",
"Aug 3, 2018",
"Aug 3, 2018",
"Aug 3, 2018",
"Aug 3, 2018",
"Aug 4, 2018",
"Aug 4, 2018",
"Aug 4, 2018",
"Aug 4, 2018",
"Aug 4, 2018",
"Aug 4, 2018",
"Aug 4, 2018",
"Aug 4, 2018",0.026
"Aug 4, 2018",
"Aug 4, 2018",
"Aug 5, 2018",
"Aug 5, 2018",
"Aug 5, 2018",
"Aug 5, 2018",
"Aug 5, 2018",
"Aug 5, 2018",
"Aug 5, 2018",
"Aug 5, 2018",0.027
"Aug 5, 2018",
"Aug 5, 2018",
"Aug 5, 2018",
"Aug 5, 2018",
"Aug 5, 2018",
"Aug 6, 2018",
"Aug 6, 2018",
"Aug 6, 2018",
"Aug 6, 2018",
"Aug 6, 2018",
"Aug 6, 2018",
"Aug 6, 2018",
"Aug 6, 2018",0.029
"Aug 6, 2018",
"Aug 6, 2018",
"Aug 6, 2018",
"Aug 6, 2018",
"Aug 6, 2018",
"Aug 6, 2018",
"Aug 6, 2018",
"Aug 7, 2018",
"Aug 7, 2018",
"Aug 7, 2018",
"Aug 7, 2018",
"Aug 7, 2018",
"Aug 7, 2018",
"Aug 7, 2018",0.028
"Aug 7, 2018",
"Aug 7, 2018",
"Aug 7, 2018",
"Aug 7, 2018",
"Aug 7, 2018",
"Aug 7, 2018",
"Aug 7, 2018",
"Aug 8, 2018",
"Aug 8, 2018",
"Aug 8, 2018",
"Aug 8, 2018",
"Aug 8, 2018",
"Aug 8, 2018",
"Aug 8, 2018",0.029
"Aug 8, 2018",0.029
"Aug 8, 2018",
"Aug 8, 2018",
"Aug 8, 2018",
"Aug 8, 2018",
"Aug 8, 2018",
"Aug 8, 2018",
"Aug 9, 2018",
"Aug 9, 2018",
"Aug 9, 2018",
"Aug 9, 2018",
"Aug 9, 2018",
"Aug 9, 2018",
"Aug 9, 2018",
"Aug 9, 2018",0.029
"Aug 9, 2018",
"Aug 9, 2018",
"Aug 9, 2018",
"Aug 9, 2018",
"Aug 9, 2018",
"Aug 9, 2018",
"Aug 10, 2018",
"Aug 10, 2018",
"Aug 10, 2018",
"Aug 10, 2018",
"Aug 10, 2018",
"Aug 10, 2018",
"Aug 10, 2018",
"Aug 10, 2018",0.027
"Aug 10, 2018",
"Aug 10, 2018",
"Aug 10, 2018",
"Aug 10, 2018",
"Aug 10, 2018",
"Aug 10, 2018",
"Aug 11, 2018",
"Aug 11, 2018",
"Aug 11, 2018",
"Aug 11, 2018",
"Aug 11, 2018",
"Aug 11, 2018",
"Aug 12, 2018",
"Aug 12, 2018",
"Aug 12, 2018",
"Aug 12, 2018",0.028
"Aug 12, 2018",
"Aug 12, 2018",
"Aug 12, 2018",
"Aug 12, 2018",
"Aug 12, 2018",
"Aug 12, 2018",
"Aug 12, 2018",
"Aug 13, 2018",
"Aug 13, 2018",
"Aug 13, 2018",
"Aug 13, 2018",
"Aug 13, 2018",
"Aug 13, 2018",
"Aug 13, 2018",0.027
"Aug 13, 2018",0.027
"Aug 13, 2018",
"Aug 13, 2018",
"Aug 13, 2018",
"Aug 13, 2018",
"Aug 13, 2018",
"Aug 13, 2018",
"Aug 14, 2018",
"Aug 14, 2018",
"Aug 14, 2018",
"Aug 14, 2018",
"Aug 14, 2018",
"Aug 14, 2018",
"Aug 14, 2018",
"Aug 14, 2018",0.028
"Aug 14, 2018",
"Aug 14, 2018",
"Aug 14, 2018",
"Aug 14, 2018",
"Aug 14, 2018",
"Aug 14, 2018",
"Aug 15, 2018",
"Aug 15, 2018",
"Aug 15, 2018",
"Aug 15, 2018",
"Aug 15, 2018",
"Aug 15, 2018",
"Aug 15, 2018",
"Aug 15, 2018",0.028
"Aug 15, 2018",
"Aug 15, 2018",
"Aug 15, 2018",
"Aug 15, 2018",
"Aug 15, 2018",
"Aug 15, 2018",
"Aug 16, 2018",
"Aug 16, 2018",
"Aug 16, 2018",
"Aug 16, 2018",
"Aug 16, 2018",
"Aug 16, 2018",
"Aug 16, 2018",
"Aug 16, 2018",0.026
"Aug 16, 2018",
"Aug 16, 2018",
"Aug 16, 2018",
"Aug 16, 2018",
"Aug 16, 2018",
"Aug 16, 2018",
"Aug 16, 2018",
"Aug 17, 2018",
"Aug 17, 2018",
"Aug 17, 2018",
"Aug 17, 2018",
"Aug 17, 2018",
"Aug 17, 2018",
"Aug 17, 2018",0.026
"Aug 17, 2018",
"Aug 17, 2018",
"Aug 17, 2018",
"Aug 17, 2018",
"Aug 17, 2018",
"Aug 17, 2018",
"Aug 17, 2018",
"Aug 18, 2018",
"Aug 18, 2018",
"Aug 18, 2018",
"Aug 18, 2018",
"Aug 18, 2018",
"Aug 18, 2018",
"Aug 18, 2018",0.027
"Aug 18, 2018",0.028
"Aug 18, 2018",
"Aug 18, 2018",
"Aug 18, 2018",
"Aug 18, 2018",
"Aug 18, 2018",
"Aug 18, 2018",
"Aug 19, 2018",
"Aug 19, 2018",
"Aug 19, 2018",
"Aug 19, 2018",
"Aug 19, 2018",
"Aug 19, 2018",
"Aug 19, 2018",0.03
"Aug 19, 2018",0.029
"Aug 19, 2018",
"Aug 19, 2018",
"Aug 19, 2018",
"Aug 19, 2018",
"Aug 19, 2018",
"Aug 19, 2018",
"Aug 20, 2018",
"Aug 20, 2018",
"Aug 20, 2018",
"Aug 20, 2018",
"Aug 20, 2018",
"Aug 20, 2018",
"Aug 20, 2018",
"Aug 20, 2018",0.026
"Aug 20, 2018",
"Aug 20, 2018",
"Aug 20, 2018",
"Aug 20, 2018",
"Aug 20, 2018",
"Aug 20, 2018",
"Aug 21, 2018",
"Aug 21, 2018",
"Aug 21, 2018",
"Aug 21, 2018",
"Aug 21, 2018",
"Aug 21, 2018",
"Aug 21, 2018",
"Aug 21, 2018",0.027
"Aug 21, 2018",
"Aug 21, 2018",
"Aug 21, 2018",
"Aug 21, 2018",
"Aug 21, 2018",
"Aug 21, 2018",
"Aug 22, 2018",
"Aug 22, 2018",
"Aug 22, 2018",
"Aug 22, 2018",
"Aug 22, 2018",
"Aug 22, 2018",
"Aug 22, 2018",
"Aug 22, 2018",0.026
"Aug 22, 2018",
"Aug 22, 2018",
"Aug 22, 2018",
"Aug 22, 2018",
"Aug 22, 2018",
"Aug 22, 2018",
"Aug 22, 2018",
"Aug 23, 2018",
"Aug 23, 2018",
"Aug 23, 2018",
"Aug 23, 2018",
"Aug 23, 2018",
"Aug 23, 2018",
"Aug 23, 2018",0.028
"Aug 23, 2018",
"Aug 23, 2018",
"Aug 23, 2018",
"Aug 23, 2018",
"Aug 23, 2018",
"Aug 23, 2018",
"Aug 23, 2018",
"Aug 24, 2018",
"Aug 24, 2018",
"Aug 24, 2018",
"Aug 24, 2018",
"Aug 24, 2018",
"Aug 24, 2018",
"Aug 24, 2018",0.03
"Aug 24, 2018",0.03
"Aug 24, 2018",
"Aug 24, 2018",
"Aug 24, 2018",
"Aug 24, 2018",
"Aug 24, 2018",
"Aug 24, 2018",
"Aug 25, 2018",
"Aug 25, 2018",
"Aug 25, 2018",
"Aug 25, 2018",
"Aug 25, 2018",
"Aug 25, 2018",
"Aug 25, 2018",
"Aug 25, 2018",0.032
"Aug 25, 2018",
"Aug 25, 2018",
"Aug 25, 2018",
"Aug 25, 2018",
"Aug 25, 2018",
"Aug 25, 2018",
"Aug 26, 2018",
"Aug 26, 2018",
"Aug 26, 2018",
"Aug 26, 2018",
"Aug 26, 2018",
"Aug 26, 2018",
"Aug 26, 2018",
"Aug 26, 2018",0.033
"Aug 26, 2018",
"Aug 26, 2018",
"Aug 26, 2018",
"Aug 26, 2018",
"Aug 26, 2018",
"Aug 26, 2018",
"Aug 27, 2018",
"Aug 27, 2018",
"Aug 27, 2018",
"Aug 27, 2018",
"Aug 27, 2018",
"Aug 27, 2018",
"Aug 27, 2018",
"Aug 27, 2018",0.03
"Aug 27, 2018",
"Aug 27, 2018",
"Aug 27, 2018",
"Aug 27, 2018",
"Aug 27, 2018",
"Aug 27, 2018",
"Aug 27, 2018",
"Aug 28, 2018",
"Aug 28, 2018",
"Aug 28, 2018",
"Aug 28, 2018",
"Aug 28, 2018",
"Aug 28, 2018",
"Aug 28, 2018",0.03
"Aug 28, 2018",
"Aug 28, 2018",
"Aug 28, 2018",
"Aug 28, 2018",
"Aug 28, 2018",
"Aug 28, 2018",
"Aug 28, 2018",
"Aug 29, 2018",
"Aug 29, 2018",
"Aug 29, 2018",
"Aug 29, 2018",
"Aug 29, 2018",
"Aug 29, 2018",
"Aug 29, 2018",0.028
"Aug 29, 2018",0.028
"Aug 29, 2018",
"Aug 29, 2018",
"Aug 29, 2018",
"Aug 29, 2018",
